condition,eps,sample_id,iterations,execution_time,filename
moderate,0.005,396,66,340.3897223472595,data/sioux/moderate/sample_0396.pkl
moderate,0.005,411,76,342.25603437423706,data/sioux/moderate/sample_0411.pkl
moderate,0.005,355,87,344.3785619735718,data/sioux/moderate/sample_0355.pkl
moderate,0.005,238,71,346.1312391757965,data/sioux/moderate/sample_0238.pkl
moderate,0.005,740,71,347.94116616249084,data/sioux/moderate/sample_0740.pkl
moderate,0.005,874,65,349.5835063457489,data/sioux/moderate/sample_0874.pkl
moderate,0.005,101,70,351.33317971229553,data/sioux/moderate/sample_0101.pkl
moderate,0.005,984,75,353.1844849586487,data/sioux/moderate/sample_0984.pkl
moderate,0.005,893,63,354.7761516571045,data/sioux/moderate/sample_0893.pkl
moderate,0.005,574,70,356.5356228351593,data/sioux/moderate/sample_0574.pkl
moderate,0.005,720,63,358.1096305847168,data/sioux/moderate/sample_0720.pkl
moderate,0.005,142,79,360.05588841438293,data/sioux/moderate/sample_0142.pkl
moderate,0.005,633,69,361.7828097343445,data/sioux/moderate/sample_0633.pkl
moderate,0.005,301,84,363.8412811756134,data/sioux/moderate/sample_0301.pkl
moderate,0.005,284,60,365.3637812137604,data/sioux/moderate/sample_0284.pkl
moderate,0.005,767,69,367.0790457725525,data/sioux/moderate/sample_0767.pkl
moderate,0.005,122,70,368.8252775669098,data/sioux/moderate/sample_0122.pkl
moderate,0.005,138,55,370.23823857307434,data/sioux/moderate/sample_0138.pkl
moderate,0.005,791,69,371.9463210105896,data/sioux/moderate/sample_0791.pkl
moderate,0.005,8,77,373.87296438217163,data/sioux/moderate/sample_0008.pkl
moderate,0.005,169,78,375.81032943725586,data/sioux/moderate/sample_0169.pkl
moderate,0.005,145,65,377.4464535713196,data/sioux/moderate/sample_0145.pkl
moderate,0.005,341,85,379.52499866485596,data/sioux/moderate/sample_0341.pkl
moderate,0.005,513,54,380.91541814804077,data/sioux/moderate/sample_0513.pkl
moderate,0.005,279,76,382.7767860889435,data/sioux/moderate/sample_0279.pkl
moderate,0.005,812,81,384.7907211780548,data/sioux/moderate/sample_0812.pkl
moderate,0.005,229,81,386.8004364967346,data/sioux/moderate/sample_0229.pkl
moderate,0.005,603,56,388.2124729156494,data/sioux/moderate/sample_0603.pkl
moderate,0.005,228,76,390.09158754348755,data/sioux/moderate/sample_0228.pkl
moderate,0.005,526,63,391.67708945274353,data/sioux/moderate/sample_0526.pkl
moderate,0.005,865,83,393.7427861690521,data/sioux/moderate/sample_0865.pkl
moderate,0.005,700,79,395.7204282283783,data/sioux/moderate/sample_0700.pkl
moderate,0.005,687,66,397.37542176246643,data/sioux/moderate/sample_0687.pkl
moderate,0.005,388,85,399.44557905197144,data/sioux/moderate/sample_0388.pkl
moderate,0.005,891,80,401.4199962615967,data/sioux/moderate/sample_0891.pkl
moderate,0.005,736,60,402.9409832954407,data/sioux/moderate/sample_0736.pkl
moderate,0.005,409,58,404.39865279197693,data/sioux/moderate/sample_0409.pkl
moderate,0.005,132,79,406.3180088996887,data/sioux/moderate/sample_0132.pkl
moderate,0.005,651,75,408.1714813709259,data/sioux/moderate/sample_0651.pkl
moderate,0.005,155,87,410.295565366745,data/sioux/moderate/sample_0155.pkl
moderate,0.005,688,61,411.847101688385,data/sioux/moderate/sample_0688.pkl
moderate,0.005,13,66,413.49771785736084,data/sioux/moderate/sample_0013.pkl
moderate,0.005,198,76,415.3577210903168,data/sioux/moderate/sample_0198.pkl
moderate,0.005,221,70,417.10421776771545,data/sioux/moderate/sample_0221.pkl
moderate,0.005,249,74,418.93562865257263,data/sioux/moderate/sample_0249.pkl
moderate,0.005,982,66,420.5643050670624,data/sioux/moderate/sample_0982.pkl
moderate,0.005,294,60,422.079959154129,data/sioux/moderate/sample_0294.pkl
moderate,0.005,628,75,423.94413685798645,data/sioux/moderate/sample_0628.pkl
